date,price
2026-01-29,133.0
2026-01-30,133.0
2026-01-31,133.0
2026-02-01,133.0
2026-02-02,133.0
2026-02-03,133.0
2026-02-04,133.0
2026-02-05,133.0
2026-02-06,133.0
2026-02-07,133.0
2026-02-08,133.0
2026-02-09,133.0
2026-02-10,133.0
2026-02-11,133.0
2026-02-12,133.0
2026-02-13,133.0
2026-02-14,133.0
2026-02-15,133.0
2026-02-16,133.0
2026-02-17,133.0
2026-02-18,133.0
2026-02-19,133.0
2026-02-20,133.0
2026-02-21,133.0
2026-02-22,133.0
2026-02-23,133.0
2026-02-24,133.0
2026-02-25,133.0
2026-02-26,133.0
2026-02-27,133.0
2026-02-28,133.0
2026-03-01,133.0
2026-03-02,133.0
2026-03-03,133.0
2026-03-04,135.0
2026-03-05,135.0
2026-03-06,138.0
2026-03-07,141.0
2026-03-08,141.0
2026-03-09,143.0
2026-03-10,147.0
2026-03-11,147.0
2026-03-12,147.0
2026-03-13,173.0
2026-03-14,172.0
2026-03-15,172.0
2026-03-16,172.0
2026-03-17,174.0
2026-03-18,174.0
2026-03-19,174.0
2026-03-20,165.0
2026-03-21,158.0
2026-03-22,157.0
2026-03-23,157.0
2026-03-24,157.0
2026-03-25,157.0
2026-03-26,157.0
2026-03-27,157.0
2026-03-28,157.0
2026-03-29,151.0
2026-03-30,151.0
2026-03-31,152.0
2026-04-01,154.0
2026-04-02,154.0
2026-04-03,155.0
2026-04-04,151.0
2026-04-05,151.0
2026-04-06,151.0
2026-04-07,152.0
2026-04-08,153.0
2026-04-09,153.0
2026-04-10,155.0
2026-04-11,151.0
2026-04-12,151.0
2026-04-13,153.0
2026-04-14,153.0
2026-04-15,153.0
2026-04-16,155.0
2026-04-17,155.0
2026-04-18,156.0
2026-04-19,156.0
2026-04-20,156.0
2026-04-21,156.0
2026-04-22,156.0
2026-04-23,156.0
2026-04-24,156.0
